"","Date","WeekDay","Hour","PatientVolume"
"1","1/1/2009","Thu",0,55
"2","1/1/2009","Thu",1,38
"3","1/1/2009","Thu",2,50
"4","1/1/2009","Thu",3,40
"5","1/1/2009","Thu",4,53
"6","1/1/2009","Thu",5,55
"7","1/1/2009","Thu",6,60
"8","1/1/2009","Thu",7,56
"9","1/1/2009","Thu",8,64
"10","1/1/2009","Thu",9,60
"11","1/1/2009","Thu",10,67
"12","1/1/2009","Thu",11,75
"13","1/1/2009","Thu",12,74
"14","1/1/2009","Thu",13,69
"15","1/1/2009","Thu",14,61
"16","1/1/2009","Thu",15,66
"17","1/1/2009","Thu",16,68
"18","1/1/2009","Thu",17,67
"19","1/1/2009","Thu",18,74
"20","1/1/2009","Thu",19,72
"21","1/1/2009","Thu",20,71
"22","1/1/2009","Thu",21,65
"23","1/1/2009","Thu",22,62
"24","1/1/2009","Thu",23,66
"25","1/2/2009","Fri",0,66
"26","1/2/2009","Fri",1,59
"27","1/2/2009","Fri",2,66
"28","1/2/2009","Fri",3,63
"29","1/2/2009","Fri",4,64
"30","1/2/2009","Fri",5,63
"31","1/2/2009","Fri",6,67
"32","1/2/2009","Fri",7,72
"33","1/2/2009","Fri",8,79
"34","1/2/2009","Fri",9,81
"35","1/2/2009","Fri",10,80
"36","1/2/2009","Fri",11,81
"37","1/2/2009","Fri",12,80
"38","1/2/2009","Fri",13,70
"39","1/2/2009","Fri",14,72
"40","1/2/2009","Fri",15,72
"41","1/2/2009","Fri",16,68
"42","1/2/2009","Fri",17,68
"43","1/2/2009","Fri",18,69
"44","1/2/2009","Fri",19,64
"45","1/2/2009","Fri",20,65
"46","1/2/2009","Fri",21,61
"47","1/2/2009","Fri",22,62
"48","1/2/2009","Fri",23,60
"49","1/3/2009","Sat",0,54
"50","1/3/2009","Sat",1,53
"51","1/3/2009","Sat",2,54
"52","1/3/2009","Sat",3,52
"53","1/3/2009","Sat",4,55
"54","1/3/2009","Sat",5,55
"55","1/3/2009","Sat",6,52
"56","1/3/2009","Sat",7,63
"57","1/3/2009","Sat",8,65
"58","1/3/2009","Sat",9,68
"59","1/3/2009","Sat",10,77
"60","1/3/2009","Sat",11,77
"61","1/3/2009","Sat",12,65
"62","1/3/2009","Sat",13,64
"63","1/3/2009","Sat",14,63
"64","1/3/2009","Sat",15,62
"65","1/3/2009","Sat",16,61
"66","1/3/2009","Sat",17,64
"67","1/3/2009","Sat",18,71
"68","1/3/2009","Sat",19,69
"69","1/3/2009","Sat",20,62
"70","1/3/2009","Sat",21,62
"71","1/3/2009","Sat",22,52
"72","1/3/2009","Sat",23,50
"73","1/4/2009","Sun",0,54
"74","1/4/2009","Sun",1,57
"75","1/4/2009","Sun",2,60
"76","1/4/2009","Sun",3,65
"77","1/4/2009","Sun",4,60
"78","1/4/2009","Sun",5,64
"79","1/4/2009","Sun",6,72
"80","1/4/2009","Sun",7,76
"81","1/4/2009","Sun",8,72
"82","1/4/2009","Sun",9,79
"83","1/4/2009","Sun",10,83
"84","1/4/2009","Sun",11,84
"85","1/4/2009","Sun",12,83
"86","1/4/2009","Sun",13,77
"87","1/4/2009","Sun",14,72
"88","1/4/2009","Sun",15,72
"89","1/4/2009","Sun",16,70
"90","1/4/2009","Sun",17,63
"91","1/4/2009","Sun",18,70
"92","1/4/2009","Sun",19,70
"93","1/4/2009","Sun",20,64
"94","1/4/2009","Sun",21,64
"95","1/4/2009","Sun",22,55
"96","1/4/2009","Sun",23,59
"97","1/5/2009","Mon",0,67
"98","1/5/2009","Mon",1,65
"99","1/5/2009","Mon",2,64
"100","1/5/2009","Mon",3,70
"101","1/5/2009","Mon",4,67
"102","1/5/2009","Mon",5,67
"103","1/5/2009","Mon",6,75
"104","1/5/2009","Mon",7,74
"105","1/5/2009","Mon",8,76
"106","1/5/2009","Mon",9,77
"107","1/5/2009","Mon",10,87
"108","1/5/2009","Mon",11,88
"109","1/5/2009","Mon",12,81
"110","1/5/2009","Mon",13,76
"111","1/5/2009","Mon",14,79
"112","1/5/2009","Mon",15,74
"113","1/5/2009","Mon",16,64
"114","1/5/2009","Mon",17,66
"115","1/5/2009","Mon",18,72
"116","1/5/2009","Mon",19,68
"117","1/5/2009","Mon",20,62
"118","1/5/2009","Mon",21,60
"119","1/5/2009","Mon",22,54
"120","1/5/2009","Mon",23,54
"121","1/6/2009","Tue",0,60
"122","1/6/2009","Tue",1,66
"123","1/6/2009","Tue",2,64
"124","1/6/2009","Tue",3,63
"125","1/6/2009","Tue",4,62
"126","1/6/2009","Tue",5,65
"127","1/6/2009","Tue",6,74
"128","1/6/2009","Tue",7,81
"129","1/6/2009","Tue",8,79
"130","1/6/2009","Tue",9,86
"131","1/6/2009","Tue",10,87
"132","1/6/2009","Tue",11,93
"133","1/6/2009","Tue",12,87
"134","1/6/2009","Tue",13,87
"135","1/6/2009","Tue",14,86
"136","1/6/2009","Tue",15,87
"137","1/6/2009","Tue",16,82
"138","1/6/2009","Tue",17,89
"139","1/6/2009","Tue",18,93
"140","1/6/2009","Tue",19,86
"141","1/6/2009","Tue",20,82
"142","1/6/2009","Tue",21,80
"143","1/6/2009","Tue",22,78
"144","1/6/2009","Tue",23,77
"145","1/7/2009","Wed",0,73
"146","1/7/2009","Wed",1,73
"147","1/7/2009","Wed",2,69
"148","1/7/2009","Wed",3,75
"149","1/7/2009","Wed",4,72
"150","1/7/2009","Wed",5,74
"151","1/7/2009","Wed",6,79
"152","1/7/2009","Wed",7,77
"153","1/7/2009","Wed",8,77
"154","1/7/2009","Wed",9,81
"155","1/7/2009","Wed",10,83
"156","1/7/2009","Wed",11,89
"157","1/7/2009","Wed",12,80
"158","1/7/2009","Wed",13,78
"159","1/7/2009","Wed",14,74
"160","1/7/2009","Wed",15,76
"161","1/7/2009","Wed",16,75
"162","1/7/2009","Wed",17,75
"163","1/7/2009","Wed",18,78
"164","1/7/2009","Wed",19,74
"165","1/7/2009","Wed",20,69
"166","1/7/2009","Wed",21,69
"167","1/7/2009","Wed",22,59
"168","1/7/2009","Wed",23,60
"169","1/8/2009","Thu",0,60
"170","1/8/2009","Thu",1,53
"171","1/8/2009","Thu",2,60
"172","1/8/2009","Thu",3,67
"173","1/8/2009","Thu",4,59
"174","1/8/2009","Thu",5,66
"175","1/8/2009","Thu",6,69
"176","1/8/2009","Thu",7,68
"177","1/8/2009","Thu",8,74
"178","1/8/2009","Thu",9,71
"179","1/8/2009","Thu",10,73
"180","1/8/2009","Thu",11,79
"181","1/8/2009","Thu",12,74
"182","1/8/2009","Thu",13,73
"183","1/8/2009","Thu",14,71
"184","1/8/2009","Thu",15,76
"185","1/8/2009","Thu",16,73
"186","1/8/2009","Thu",17,71
"187","1/8/2009","Thu",18,76
"188","1/8/2009","Thu",19,77
"189","1/8/2009","Thu",20,68
"190","1/8/2009","Thu",21,68
"191","1/8/2009","Thu",22,65
"192","1/8/2009","Thu",23,62
"193","1/9/2009","Fri",0,56
"194","1/9/2009","Fri",1,52
"195","1/9/2009","Fri",2,58
"196","1/9/2009","Fri",3,64
